NPCs,            guia,   Mercader,   Golfista,   Zoologa,    Recaudador de impuestos,    Mecanica,   Cyborg,     Traficante de armas,    Pintor,        Estilista,    Buhonero,       Mago,      Trufa,    Enfermera
guia,                    0,     1,           1,         0.94,               1,                   1,         1,                 1,               1.12,           1,              0.94,         1,         1,          1
Mercader,                1,     0,           1,         1,                  1.06,                1,         1,                 1,               1,              1,              1,            1,         1,         0.94
Golfista,                1,     1.12,        0,         0.94,               1,                   1,         1,                 1,               0.94,           1,              1,            1,         1,          1
Zoologa,                 1,     1,           0.94,      0,                  1,                   1,         1,                 1.12,            1,              1,              1,            1,         1,          1
Recaudador de impuestos, 1,     0.88,        1,         1,                  0,                   1.06,      1,                 1,               1,              1,              1,            1,         1,          1
Mecanica,                1,     1,           1,         1,                  1,                   0,         0.94,              1.06,            1,              1,              1.12,         1,         1,          1
Cyborg,                  1,     1,           1,         0.94,               1,                   1,         0,                 1,               1,              0.94,           1,            1.12,      1,          1
Traficante de armas,     1,     1,           1.06,      1,                  1,                   1,         1,                 0,               1,              1,              1,            1,         1,         0.88
Pintor,                  1,     1,           1,         1,                  1,                   1,         1.06,              1,               0,              1,              1,            1,         1.06,       1
Estilista,               1,     1,           1,         1,                  1,                   1,         1,                 1,               1,              0,              1,            1,         1,          1
Buhonero,                1,     1,           1,         1,                  0.94,                1.12,      1,                 1,               1,              1,              0,            1,         0.88,      1.06
Mago,                    1,     0.94,        0.88,      1,                  1,                   1,         1.12,              1,               1,              1,              0.94,         0,         1,          1
Trufa,                  0.88,   1,           1,         1,                  1,                   1,         1,                 1,               1,              1,              1.06,         1,         0,          1
Enfermera,               1,     1,           1,         1.12,               1,                   1,         1,                 0.88,            1,              1,              1,            0.94,      1,          0
